cluster,temperature,ice_particles,ice_mass,ice_length
1,222.808,4609,0.0023702011423963523,10.654
2,285.03,912,0.0004870843141589473,0.537
3,288.739,261,0.0001392085106404398,0.3
4,303.195,50,2.6677082226307444e-05,0.161
5,235.193,16966,0.009647053026419907,3.91
6,231.818,152,8.063477502560266e-05,0.137
7,241.485,7051,0.003864300968490732,1.756
8,244.912,1500,0.0008890778005732946,0.534
9,247.36,1178,0.000673354006524197,0.599
10,248.23,570,0.00033545345727683986,0.302
11,299.3,76,7.30082594637987e-05,0.035
12,261.934,266,0.00017121568888767141,0.26
13,229.96,62,3.1101290033873694e-05,0.24
14,274.143,885,0.0005457488036663522,0.404
15,341.43,76,5.300297185207545e-05,0.02
16,249.393,199,0.00011213453320341022,0.265
17,279.772,71,3.7623915658512455e-05,0.194
all,239.382,34884,0.019536880546498405,10.654
